               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15719,            0.002431,            0.039076,                   0,                   0,                   0,                   0,             0.15688,           0.0014401,            0.039062,              0.0005,              0.0005,              0.0955
                   1,             0.15095,           0.0029791,            0.038185,          0.00062921,             0.12941,          0.00029228,          5.8456e-05,             0.14934,           0.0017555,            0.037873,           0.0010891,           0.0010891,            0.090089
                   2,             0.12232,           0.0023167,            0.030585,           0.0010138,             0.18824,          0.00064662,          0.00011162,             0.14064,           0.0022115,            0.036042,           0.0016663,           0.0016663,            0.084666
                   3,             0.13374,           0.0050377,            0.034433,          0.00071591,             0.15882,          0.00044433,          0.00014041,             0.13526,           0.0024846,            0.033488,           0.0022317,           0.0022317,            0.079232
                   4,               0.131,           0.0067887,            0.034055,           0.0015735,             0.25882,           0.0009754,          0.00017869,              0.1307,            0.002649,            0.030511,           0.0027852,           0.0027852,            0.073785
                   5,             0.10493,           0.0042515,            0.027289,           0.0036308,             0.28824,           0.0021094,          0.00040116,              0.1248,           0.0030982,            0.028065,           0.0033267,           0.0033267,            0.068327
                   6,            0.098717,           0.0063516,            0.024034,             0.11036,                 0.1,            0.036643,           0.0072941,             0.11772,           0.0035461,             0.02731,           0.0038565,           0.0038565,            0.062856
                   7,            0.095985,           0.0066198,            0.023764,            0.028593,             0.18824,            0.019762,           0.0030926,             0.11459,           0.0038166,            0.026135,           0.0043743,           0.0043743,            0.057374
                   8,            0.099034,           0.0083284,            0.026114,            0.024988,             0.53529,            0.019637,           0.0042209,             0.11515,           0.0036901,            0.024347,           0.0048802,           0.0048802,             0.05188
                   9,            0.087383,           0.0069009,            0.020052,               0.796,            0.088235,            0.083207,            0.016151,             0.10988,            0.004094,            0.023248,           0.0053743,           0.0053743,            0.046374
                  10,             0.10116,           0.0094893,             0.02407,              0.1546,             0.12941,            0.036815,           0.0093934,             0.11868,           0.0035021,            0.022993,           0.0058565,           0.0058565,            0.040857
                  11,            0.095687,           0.0049415,            0.019096,             0.11923,             0.15882,            0.046606,            0.012818,              0.1211,           0.0028679,            0.020746,           0.0063268,           0.0063268,            0.035327
                  12,            0.090409,           0.0062571,            0.018731,             0.19121,             0.57297,             0.17949,            0.042276,             0.10706,           0.0038803,            0.015093,           0.0067852,           0.0067852,            0.029785
                  13,            0.093307,           0.0091154,              0.0169,             0.23801,             0.49289,             0.19645,            0.068751,             0.10531,           0.0038198,            0.012311,           0.0072318,           0.0072318,            0.024232
                  14,            0.079741,           0.0083246,            0.013149,             0.44026,             0.28824,             0.21159,            0.036671,             0.11668,           0.0030402,            0.011121,           0.0076665,           0.0076665,            0.018666
                  15,            0.081346,           0.0067469,            0.011625,             0.15107,             0.15882,            0.075755,            0.014935,             0.11611,           0.0029595,             0.01035,           0.0080892,           0.0080892,            0.013089
                  16,            0.083557,           0.0065713,            0.010411,             0.25958,             0.37647,             0.23788,             0.04494,             0.12385,           0.0022987,            0.012543,            0.008416,            0.008416,            0.008416
                  17,             0.10745,           0.0057629,           0.0098315,             0.29037,             0.15882,            0.086592,            0.010882,             0.12436,           0.0022049,            0.015896,            0.008416,            0.008416,            0.008416
                  18,             0.10894,           0.0072378,           0.0083978,             0.25472,             0.28824,             0.13339,             0.03294,             0.12448,           0.0022753,            0.011567,            0.008317,            0.008317,            0.008317
                  19,            0.088779,            0.005361,           0.0073958,             0.21869,             0.56054,             0.27936,            0.055439,             0.11291,            0.002675,           0.0094668,            0.008218,            0.008218,            0.008218
                  20,            0.096358,           0.0067749,           0.0088045,             0.26944,             0.50159,             0.25569,            0.052469,             0.11693,           0.0025462,            0.010745,            0.008119,            0.008119,            0.008119
                  21,            0.094974,           0.0072406,           0.0059704,             0.32505,             0.56471,             0.28386,            0.053631,             0.11277,           0.0027211,            0.012442,             0.00802,             0.00802,             0.00802
                  22,            0.075471,           0.0064273,           0.0045555,             0.21484,             0.31765,              0.2288,            0.078577,             0.11026,           0.0030182,            0.010731,            0.007921,            0.007921,            0.007921
                  23,            0.079467,           0.0067753,           0.0054819,             0.36809,             0.48824,             0.32632,            0.090053,             0.10686,           0.0033447,           0.0090687,            0.007822,            0.007822,            0.007822
                  24,             0.09232,           0.0079558,           0.0078656,             0.32022,             0.24753,             0.21928,            0.045887,             0.10872,            0.003273,           0.0071984,            0.007723,            0.007723,            0.007723
                  25,            0.083274,           0.0085646,           0.0057297,             0.53728,             0.45882,             0.41021,             0.13813,             0.10734,           0.0036116,           0.0057484,            0.007624,            0.007624,            0.007624
                  26,            0.088648,           0.0069145,           0.0052702,             0.49984,                 0.3,             0.40677,             0.11677,             0.10483,           0.0034511,           0.0039531,            0.007525,            0.007525,            0.007525
                  27,             0.09238,           0.0084128,           0.0051733,             0.62842,             0.33061,              0.4507,             0.16365,             0.09314,           0.0038508,           0.0032249,            0.007426,            0.007426,            0.007426
                  28,            0.063899,           0.0063177,           0.0045195,             0.53515,             0.51638,             0.46263,             0.10246,             0.10213,           0.0033106,           0.0035317,            0.007327,            0.007327,            0.007327
                  29,            0.079209,           0.0066519,           0.0081793,             0.69901,              0.3333,             0.43067,             0.16081,            0.097058,           0.0034929,           0.0041587,            0.007228,            0.007228,            0.007228
                  30,            0.094884,           0.0073875,           0.0059878,             0.80842,             0.22941,             0.29178,            0.082245,            0.099341,           0.0033631,           0.0035811,            0.007129,            0.007129,            0.007129
                  31,            0.070101,           0.0060267,           0.0035082,             0.83095,             0.35814,             0.44689,             0.13942,            0.092225,           0.0035624,           0.0036677,             0.00703,             0.00703,             0.00703
                  32,            0.084052,           0.0080594,           0.0062342,                   1,             0.35329,             0.47994,             0.16802,            0.092104,           0.0034693,           0.0031483,            0.006931,            0.006931,            0.006931
                  33,            0.077556,           0.0072324,           0.0043593,             0.95956,             0.35882,             0.50258,             0.13337,            0.095116,           0.0033539,           0.0028361,            0.006832,            0.006832,            0.006832
                  34,            0.076637,           0.0073863,           0.0043825,             0.86791,             0.35882,             0.47238,             0.17232,            0.085324,            0.003734,           0.0024804,            0.006733,            0.006733,            0.006733
                  35,            0.061101,            0.006198,           0.0046526,             0.49868,             0.57585,             0.55916,             0.14482,            0.079822,           0.0041389,           0.0024415,            0.006634,            0.006634,            0.006634
                  36,            0.061689,           0.0077855,           0.0053506,             0.70362,             0.47647,             0.49004,             0.17204,            0.089678,           0.0038369,           0.0022719,            0.006535,            0.006535,            0.006535
                  37,            0.068284,           0.0085048,           0.0046131,             0.57255,             0.57637,             0.59253,             0.24036,            0.083181,           0.0040289,            0.002249,            0.006436,            0.006436,            0.006436
                  38,            0.058694,           0.0063211,           0.0038016,             0.83958,             0.38793,             0.59746,              0.2006,            0.088463,           0.0037696,           0.0020977,            0.006337,            0.006337,            0.006337
                  39,            0.068272,           0.0060873,           0.0037567,             0.99829,             0.51684,             0.68405,             0.28422,            0.081404,           0.0038831,           0.0021887,            0.006238,            0.006238,            0.006238
                  40,             0.06681,           0.0074678,           0.0043732,             0.80722,             0.57626,              0.7214,             0.30539,            0.076892,           0.0039088,           0.0019892,            0.006139,            0.006139,            0.006139
                  41,            0.055797,           0.0079279,           0.0049961,             0.75384,             0.57647,             0.65484,             0.33882,             0.07937,           0.0037186,           0.0019626,             0.00604,             0.00604,             0.00604
                  42,            0.064263,           0.0071855,           0.0033245,             0.57157,             0.63463,             0.60552,             0.20675,            0.088433,           0.0035206,           0.0020297,            0.005941,            0.005941,            0.005941
